"","pid","age","handedness","bid","BOXED.rcs.overall","FLANKER.rcs.overall","BRT.rt_mean.correct","BRT.rt_mean.correct.dominant","BRT.rt_mean.correct.nondominant","BACKWARDSSPATIALSPAN.object_count_span.overall","inhibition","wm"
"60","wpi317315r3095952t8",18,"RIGHT","wpi317315r3095952t8.session0",1.31875759153219,2.34823447556097,269.4,258.8,280,7,"High","Average"
"61","wpi31731f5458p34209",19,"RIGHT","wpi31731f5458p34209.session0",1.06621339720312,1.98731177864404,312.233333333333,306.533333333333,317.933333333333,6,"Average","Low"
"62","wpi31o73143209872d9",20,"RIGHT","wpi31o73143209872d9.session0",1.12602731713024,1.97224765795591,364.466666666667,335.4,393.533333333333,8,"Average","Average"
"64","wpi3a1732642y125299",20,"RIGHT","wpi3a1732642y125299.session0",1.43493982818987,2.08484408992023,267.814814814815,277.666666666667,259.933333333333,7,"Average","Average"
"65","wpi317x3160226t5193",19,"RIGHT","wpi317x3160226t5193.session0",1.11928856179086,1.92638458892329,350.666666666667,374.466666666667,326.866666666667,6,"Average","Low"
"66","wpi317320r6i2708121",18,"RIGHT","wpi317320r6i2708121.session0",1.34393755292905,2.3265475695887,293.266666666667,284.4,302.133333333333,9,"Average","High"
"67","wpi3173206398w47m11",19,"RIGHT","wpi3173206398w47m11.session0",1.59337157425112,2.55990169977473,240.814814814815,244.923076923077,237,7,"High","Average"
"68","wpi31y7320678d53268",21,"RIGHT","wpi31y7320678d53268.session0",1.02763657290054,1.8400473155024,299.433333333333,281,317.866666666667,7,"Average","Average"
"69","wpi31m73388k3314411",20,"RIGHT","wpi31m73388k3314411.session0",1.47461554666105,2.11933485490708,242.379310344828,258.214285714286,227.6,9,"Average","High"
"70","wpi31733s4279i81043",20,"RIGHT","wpi31733s4279i81043.session0",1.28528096241838,1.93558377206566,312.571428571429,301.384615384615,322.266666666667,6,"Average","Low"
"71","wpi31733q930q733181",20,"RIGHT","wpi31733q930q733181.session0",1.21609296355099,1.73673927201679,322.233333333333,308.866666666667,335.6,8,"Low","Average"
"72","wpi3173326462d13u77",18,"RIGHT","wpi3173326462d13u77.session0",1.28991772416678,2.1551724137931,260.310344827586,260.642857142857,260,8,"Average","Average"
"73","wpi317339h59g133456",20,"RIGHT","wpi317339h59g133456.session0",1.07761759137906,1.72425684529968,295.1,305.6,284.6,7,"Low","Average"
"74","wpi317332654d14g296",19,"RIGHT","wpi317332654d14g296.session0",1.20560606821721,1.9046223719874,270.758620689655,257.142857142857,283.466666666667,6,"Average","Low"
"75","wpi31733u2w71137811",18,"RIGHT","wpi31733u2w71137811.session0",1.17544845914039,2.29124236252546,293.866666666667,278.8,308.933333333333,7,"Average","Average"
"76","wpi3u17338622515k38",19,"RIGHT","wpi3u17338622515k38.session0",1.16740602381508,2.00460316281832,278.833333333333,288.8,268.866666666667,7,"Average","Average"
"77","wpi3y173212t9452591",21,"LEFT","wpi3y173212t9452591.session0",1.35516447612683,2.69088462832156,265.173913043478,268.333333333333,263.142857142857,7,"High","Average"
"78","wpi317321y3145811k6",21,"RIGHT","wpi317321y3145811k6.session0",1.1926911883975,2.30100562468042,227.655172413793,228.642857142857,226.733333333333,8,"Average","Average"
"79","wpi31k73213q1498455",21,"LEFT","wpi31k73213q1498455.session0",1.50910579087375,2.55813953488372,234.863636363636,255,218.083333333333,8,"High","Average"
"80","wpi31x73213187x9598",20,"RIGHT","wpi31x73213187x9598.session0",1.18375818901213,2.43221331411585,276.448275862069,243.4,311.857142857143,7,"High","Average"
"81","wpi3k17338l86267235",18,"RIGHT","wpi3k17338l86267235.session0",1.15136507736227,2.20102714600147,317.833333333333,310.133333333333,325.533333333333,5,"Average","Low"
"82","wpi31s73360645119b2",18,"RIGHT","wpi31s73360645119b2.session0",0.96045271068309,1.8299457551794,327.866666666667,330.066666666667,325.666666666667,6,"Average","Low"
"83","wpi317u3362775s1597",20,"RIGHT","wpi317u3362775s1597.session0",1.32155263555354,2.01969199697046,285.5,242.2,328.8,7,"Average","Average"
"84","wpi317t3362d7639490",18,"RIGHT","wpi317t3362d7639490.session0",0.792613256199368,1.66522758110275,360.6,353.466666666667,367.733333333333,6,"Low","Low"
"85","wpi3173332672y6n023",18,"RIGHT","wpi3173332672y6n023.session0",1.17972833478069,1.98902060625348,279.366666666667,266.666666666667,292.066666666667,8,"Average","Average"
"86","wpi31730773s9u74216",19,"LEFT","wpi31730773s9u74216.session0",1.58107636393503,2.14291601417621,258.933333333333,265.466666666667,252.4,7,"Average","Average"
"87","wpi3172962sm8819197",20,"RIGHT","wpi3172962sm8819197.session0",1.39958012596221,2.32122131952504,256.357142857143,279.307692307692,236.466666666667,7,"Average","Average"
"88","wpi3r17296342184t21",18,"LEFT","wpi3r17296342184t21.session0",1.16811796474408,1.77506390230048,314.413793103448,317.866666666667,310.714285714286,7,"Average","Average"
"89","wpi3e1729696g863534",17,"RIGHT","wpi3e1729696g863534.session0",1.12410422944216,2.02505062626566,297.206896551724,271.5,321.2,7,"Average","Average"
"90","wpi317e29698t050707",18,"RIGHT","wpi317e29698t050707.session0",1.27623613817843,1.82072829131653,302.8,291.133333333333,314.466666666667,8,"Average","Average"
"91","wpi317304169697kc73",19,"RIGHT","wpi317304169697kc73.session0",1.17086754956409,2.29143681575151,263.866666666667,258.8,268.933333333333,8,"Average","Average"
"92","wpi3173397014fu5372",19,"RIGHT","wpi3173397014fu5372.session0",1.23498173991285,2.29034531360113,246.51724137931,244.142857142857,248.733333333333,6,"Average","Low"
"93","wpi3172x98014y05211",21,"RIGHT","wpi3172x98014y05211.session0",1.09226055379029,1.82935752963559,362.866666666667,347.933333333333,377.8,7,"Average","Average"
"94","wpi317298wq09878002",22,"RIGHT","wpi317298wq09878002.session0",1.36261948342485,2.02429149797571,323.766666666667,364.333333333333,283.2,6,"Average","Low"
"95","wpi3172988g3343a754",18,"RIGHT","wpi3172988g3343a754.session0",0.964970257766028,1.88173988564811,320.068965517241,291.571428571429,346.666666666667,6,"Average","Low"
"96","wpi317299576u49a846",20,"RIGHT","wpi317299576u49a846.session0",1.42400800523419,2.12729748127978,266.133333333333,254.533333333333,277.733333333333,7,"Average","Average"
"97","wpi3173393nf4907307",19,"RIGHT","wpi3173393nf4907307.session0",1.44116810467431,2.16036560033236,295.310344827586,286.6,304.642857142857,6,"Average","Low"
"98","wpi317337599t288p70",20,"RIGHT","wpi317337599t288p70.session0",1.01429522330343,1.63162849074365,352.862068965517,355.928571428571,350,7,"Low","Average"
"99","wpi31733jd975021963",21,"RIGHT","wpi31733jd975021963.session0",1.15595952558154,2.06367924528302,267.206896551724,257.142857142857,276.6,7,"Average","Average"
"100","wpi31729988o2000s24",20,"RIGHT","wpi31729988o2000s24.session0",1.27517223105458,2.17163999034827,282.133333333333,288.8,275.466666666667,9,"Average","High"
"101","wpi3173015135w700w1",21,"RIGHT","wpi3173015135w700w1.session0",1.18122009569378,1.99274073019714,282.607142857143,276.071428571429,289.142857142857,9,"Average","High"
"102","wpi3173t298w6988465",19,"RIGHT","wpi3173t298w6988465.session0",1.24161073825503,2.31090569727135,245.75,243.266666666667,248.615384615385,8,"Average","Average"
"103","wpi317v33974953s102",19,"RIGHT","wpi317v33974953s102.session0",1.09419166590681,1.67681033411999,265.666666666667,278,253.333333333333,6,"Low","Low"
"104","wpi31731960a60t8547",21,"RIGHT","wpi31731960a60t8547.session0",1.35840970401974,2.28175441561734,312.766666666667,342.266666666667,283.266666666667,7,"Average","Average"
"105","wpi31733439703jd512",22,"RIGHT","wpi31733439703jd512.session0",1.21207923535116,2.34090514999133,290.033333333333,298.866666666667,281.2,9,"Average","High"
"106","wpi3173378261t12t81",18,"LEFT","wpi3173378261t12t81.session0",1.26394553237386,2.07421064761466,281.620689655172,285.6,277.357142857143,8,"Average","Average"
"107","wpi3173sy1012069050",19,"RIGHT","wpi3173sy1012069050.session0",1.08348459904034,1.770375713068,354.533333333333,332.266666666667,376.8,8,"Average","Average"
"108","wpi31m7334o50118906",18,"RIGHT","wpi31m7334o50118906.session0",1.08133158260601,2.20322552216445,290.466666666667,287.666666666667,293.266666666667,6,"Average","Low"
"109","wpi3g173989863s6590",22,"LEFT","wpi3g173989863s6590.session0",1.22143869192059,1.74309466344865,367.833333333333,345.733333333333,389.933333333333,8,"Low","Average"
"110","wpi31733458u577z845",19,"RIGHT","wpi31733458u577z845.session0",1.09662122110255,2.09269880638661,296.1,278.866666666667,313.333333333333,8,"Average","Average"
"111","wpi317j337n94165137",21,"RIGHT","wpi317j337n94165137.session0",1.37903136836686,1.89883032052256,270.533333333333,272.266666666667,268.8,7,"Average","Average"
"112","wpi3173a33g60370398",22,"RIGHT","wpi3173a33g60370398.session0",1.57204184049822,2.44653860094237,266.666666666667,251.2,282.133333333333,7,"High","Average"
"114","wpi31p7z30388088692",20,"RIGHT","wpi31p7z30388088692.session0",1.10863084091147,2.09839123338774,329.862068965517,310.857142857143,347.6,9,"Average","High"
"115","wpi317t3t3168792288",20,"RIGHT","wpi317t3t3168792288.session0",1.51189623617411,2.15767634854772,332.068965517241,322.133333333333,342.714285714286,8,"Average","Average"
